Plot,Forest Type,Site Characteristics,Species,Percent Cover
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",English Holly,12
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",English Ivy,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Trailing Blackberry,8
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Spiny Wood Fern,28
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Salal,4
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Wall Lettuce,1
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Sword Fern,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Deer Fern,6
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Huckleberry,2
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Species 2,3
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Sugar-scoop,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Salmon Berry,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Alderberry,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Herb Robert,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Large-leaved avens,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Creeping buttercup,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Oregon grape,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Common snowberry,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Tall Fescue,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Cherry Laurel,0
Holly 1,Coniferus,"Damp environment, quarter of plot slightly elevated (no Holly contained there).",Mosses,9
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",English Holly,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",English Ivy,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Trailing Blackberry,35
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Spiny Wood Fern,7
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Salal,10
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Wall Lettuce,3
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Sword Fern,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Deer Fern,15
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Huckleberry,2
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Species 2,35
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Sugar-scoop,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Salmon Berry,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Alderberry,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Herb Robert,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Large-leaved avens,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Creeping buttercup,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Oregon grape,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Common snowberry,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Tall Fescue,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Cherry Laurel,0
Holly 1 Control,Coniferus,"Damp environment, relatively flat – slightly elevated in middle.",Mosses,15
Holly 2,Coniferus,"Damp environment, flat.",English Holly,6
Holly 2,Coniferus,"Damp environment, flat.",English Ivy,0
