Plot,Forest Type,Site Characteristics,Species,Percent Cover
Ivy 1,Coniferus,Flat. Damp environment.,English Holly,0
Ivy 1,Coniferus,Flat. Damp environment.,English Ivy,4
Ivy 1,Coniferus,Flat. Damp environment.,Trailing Blackberry,1
Ivy 1,Coniferus,Flat. Damp environment.,Spiny Wood Fern,30
Ivy 1,Coniferus,Flat. Damp environment.,Salal,0
Ivy 1,Coniferus,Flat. Damp environment.,Wall Lettuce,5
Ivy 1,Coniferus,Flat. Damp environment.,Sword Fern,3
Ivy 1,Coniferus,Flat. Damp environment.,Deer Fern,0
Ivy 1,Coniferus,Flat. Damp environment.,Huckleberry,3
Ivy 1,Coniferus,Flat. Damp environment.,Species 2,0
Ivy 1,Coniferus,Flat. Damp environment.,Sugar-scoop,15
Ivy 1,Coniferus,Flat. Damp environment.,Salmon Berry,1
Ivy 1,Coniferus,Flat. Damp environment.,Alderberry,0
Ivy 1,Coniferus,Flat. Damp environment.,Herb Robert,0
Ivy 1,Coniferus,Flat. Damp environment.,Large-leaved avens,0
Ivy 1,Coniferus,Flat. Damp environment.,Creeping buttercup,0
Ivy 1,Coniferus,Flat. Damp environment.,Oregon grape,0
Ivy 1,Coniferus,Flat. Damp environment.,Common snowberry,0
Ivy 1,Coniferus,Flat. Damp environment.,Tall Fescue,0
Ivy 1,Coniferus,Flat. Damp environment.,Cherry Laurel,0
Ivy 1,Coniferus,Flat. Damp environment.,Mosses,90
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,English Holly,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,English Ivy,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Trailing Blackberry,5
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Spiny Wood Fern,20
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Salal,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Wall Lettuce,1
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Sword Fern,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Deer Fern,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Huckleberry,2
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Species 2,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Sugar-scoop,4
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Salmon Berry,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Alderberry,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Herb Robert,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Large-leaved avens,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Creeping buttercup,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Oregon grape,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Common snowberry,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Tall Fescue,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Cherry Laurel,0
Ivy 1 Control,Coniferus,Flat. Moist environment. Many red cedar and hemlock samplings. Large sum covering a quarter of quadrat.,Mosses,40
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,English Holly,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,English Ivy,45
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Trailing Blackberry,4
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Spiny Wood Fern,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Salal,1
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Wall Lettuce,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Sword Fern,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Deer Fern,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Huckleberry,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Species 2,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Sugar-scoop,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Salmon Berry,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Alderberry,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Herb Robert,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Large-leaved avens,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Creeping buttercup,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Oregon grape,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Common snowberry,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Tall Fescue,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Cherry Laurel,0
Ivy 2,Coniferus,Flat. Gradual slope with low side east.,Mosses,8
Ivy 2 Control,Coniferus,Completely flat.,English Holly,0
Ivy 2 Control,Coniferus,Completely flat.,English Ivy,0
Ivy 2 Control,Coniferus,Completely flat.,Trailing Blackberry,60
Ivy 2 Control,Coniferus,Completely flat.,Spiny Wood Fern,12
Ivy 2 Control,Coniferus,Completely flat.,Salal,0
Ivy 2 Control,Coniferus,Completely flat.,Wall Lettuce,1
Ivy 2 Control,Coniferus,Completely flat.,Sword Fern,18
Ivy 2 Control,Coniferus,Completely flat.,Deer Fern,0
Ivy 2 Control,Coniferus,Completely flat.,Huckleberry,0
Ivy 2 Control,Coniferus,Completely flat.,Species 2,0
Ivy 2 Control,Coniferus,Completely flat.,Sugar-scoop,0
Ivy 2 Control,Coniferus,Completely flat.,Salmon Berry,1
Ivy 2 Control,Coniferus,Completely flat.,Alderberry,1
Ivy 2 Control,Coniferus,Completely flat.,Herb Robert,0
Ivy 2 Control,Coniferus,Completely flat.,Large-leaved avens,0
Ivy 2 Control,Coniferus,Completely flat.,Creeping buttercup,0
Ivy 2 Control,Coniferus,Completely flat.,Oregon grape,0
Ivy 2 Control,Coniferus,Completely flat.,Common snowberry,0
Ivy 2 Control,Coniferus,Completely flat.,Tall Fescue,0
Ivy 2 Control,Coniferus,Completely flat.,Cherry Laurel,0
Ivy 2 Control,Coniferus,Completely flat.,Mosses,95
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,English Holly,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,English Ivy,30
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Trailing Blackberry,40
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Spiny Wood Fern,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Salal,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Wall Lettuce,0
Ivy 3,Deciduous,Flat area. Within 10 meters of trail.,Sword Fern,0
